Question,Subject,Answer,A,B,C,D
বাংলাদেশের কোন বনভূমি শালবৃক্ষের জন্য বিখ্যাত?,BANGLADESH-AFFAIRS,C,সিলেটের বনভূমি,পার্বত্য চট্টগ্রামের বনভূমি,ভাওয়াল ও মধুপুরের বনভূমি,"খুলনা, বরিশাল ও পটুয়াখালীর বনভূমি"
চীন-বাংলাদেশ মৈত্রী সেতু-১ নির্মাণের প্রধান উদ্দেশ্য–,BANGLADESH-AFFAIRS,D,ঢাকা শহরকে নদীর ওপারে বিস্তৃত করা,বাংলাদেশ ও চীনের মধ্যে সুসম্পর্কের স্থায়ী বন্ধন সৃষ্টি করা,ঢাকা-আরিচা রোড যানবাহন চলাচলের চাপ কমানো,দেশের দক্ষিণ অঞ্চলের সাথে ঢাকার পরিবহন ব্যবস্থা উন্নত করা
হরিপুরে তেল আবিষ্কৃত হয়–,BANGLADESH-AFFAIRS,B,১৯৪৭ সালে,১৯৮৬ সালে,১৯৮৫ সালে,১৯৮৪ সালে
মিশুকের স্থপতি কে?,BANGLADESH-AFFAIRS,A,মুস্তফা মনোয়ার,হামিদুর রহমান,শামীম শিকদার,হামিদুজ্জামান খান
বাংলাদেশের কোন জেলায় সবচেয়ে বেশি পাট উৎপন্ন হয়?,BANGLADESH-AFFAIRS,D,রংপুর,ময়মনসিংহ,টাঙ্গাইল,ফরিদপুর
বাংলাদেশের মোট আবাদয্যেগ্য জমির পরিমাণ প্রায় কত?,BANGLADESH-AFFAIRS,,২ কোটি ৪০ লক্ষ একর,২ কোটি ৫০ লক্ষ একর,২ কোটি একর,২ কোটি ২৫ লক্ষ একর
উপকূল হতে বাংলাদেশের অর্থনৈতিক সমুদ্রসীমা কত?,BANGLADESH-AFFAIRS,B,২৫০ নটিক্যাল মাইল,২০০ নটিক্যাল মাইল,২২৫ নটিক্যাল মাইল,১০ নটিক্যাল মাইল
মহাস্থানগড় কোন নদীর তীরে অবস্থিত?,BANGLADESH-AFFAIRS,A,করতোয়া,গঙ্গা,ব্রহ্মপুত্র,মহানন্দা
ঔষধ নীতির প্রধান উদ্দেশ্য হলো–,BANGLADESH-AFFAIRS,A,অপ্রয়োজনীয় এবং ক্ষতিকর ঔষধ প্রস্তুত বন্ধ করা,ঔষধ শিল্পে দেশীয় কাঁচামালের ব্যবহার নিশ্চত করা,ঔষধ শিল্পে দেশীয় শিল্পপতিদের অগ্রাধিকার দেয়া,বিদেশী শিল্পপতিদের দেশীয় কাঁচামাল ব্যবহারে বাধ্য করা
বিকেএসপি হলো–,BANGLADESH-AFFAIRS,A,একটি ক্রীড়া শিক্ষা সংস্থার নাম,একটি সংবাদ সংস্থার নাম,একটি কিশোর ফুটবল টিমের নাম,একটি সঙ্গীত শিক্ষা প্রতিষ্ঠানের নাম
মা ও মনি হলো–,BANGLADESH-AFFAIRS,C,একটি উপন্যাসের নাম,একটি প্রসাধনী শিল্পের নাম,একটি ক্রীড়া প্রতিযোগিতার নাম,একটি গরিব মা ও মেয়ের গল্প কাহিনী
প্রাচীন ‘চন্দ্রদ্বীপ’- এর বর্তমান নাম–,BANGLADESH-AFFAIRS,C,মালদ্বীপ,সন্দ্বীপ,বরিশাল,হাতিয়া
আন্তর্জাতিক আণবিক শক্তি সংস্থা (IAEA) এর সদর দপ্তর–,INTERNATIONAL-AFFAIRS,A,ভিয়েনা,বন,জেনেভা,রোত
জাপানের পার্লামেন্টের নাম–,INTERNATIONAL-AFFAIRS,A,ডায়েট,পিনসাস,নেসেট,শুরা
আমেরিকাকে এশিয়া থেকে পৃথক করেছে কোন প্রণালী?,INTERNATIONAL-AFFAIRS,D,ফ্লোরিডা,পক,জিব্রাল্টার,বেরিং
সাউথ কমিশনের চেয়ারম্যান–,INTERNATIONAL-AFFAIRS,C,জেনারেল সুহার্তো,রবার্ট মুগাবে,জুলিয়াস নায়ারে,ফিডেল ক্যাস্ট্রো
আন্তর্জাতিক পরিবেশ দিবস পালিত হয়–,INTERNATIONAL-AFFAIRS,C,৭ জুলাই,৯ মার্চ,৫ জুন,২১ মে
জাতিসংঘ দিবস পালিত হয়–,INTERNATIONAL-AFFAIRS,A,২৪ অক্টোবর,২৪ আগস্ট,২৪ ডিসেম্বর,২৪ নভেম্বর
নামিবিয়ার রাজধানী–,INTERNATIONAL-AFFAIRS,B,কারাভু,উইন্ডহুক,প্রিটোরিয়া,কোটাভি
ইসলামী উন্নয়ন ব্যাংক ঋণ প্রদান করে–,INTERNATIONAL-AFFAIRS,B,স্বাভাবিক সুদে,বিনা সুদে,অল্প সুদে,অতি সামান্য সুদে
ওডারনীস নদী–,INTERNATIONAL-AFFAIRS,A,পূর্ব জার্মানি ও পোল্যান্ডেরর মধ্যে সীমা নির্ধারক,পশ্চিম জার্মানি ও চেক প্রজাতন্ত্রের মধ্যে সীমা নির্ধারক,পশ্চিম জার্মানি ও পোল্যান্ডের মধ্যে সীমা নির্ধারক,সংযুক্ত জার্মান ও ফ্রান্সের মধ্যে সীমা নির্ধারক
‘হারারে’ এর পুরাতন নাম–,INTERNATIONAL-AFFAIRS,A,সলসবেরি,ফরমোজা,পেট্রোগ্রাড,রোডেসিয়া
পবিত্রভূমি কোনটিকে বলা হয়?,INTERNATIONAL-AFFAIRS,B,প্যালেস্টাইন,জেরুজালেম,জেদ্দা,তায়েফ
এডেন কোন দেশের সমুদ্রবন্দর?,INTERNATIONAL-AFFAIRS,A,ইয়েমেন,কাতার,ওমান,ইরাক
মালদ্বীপের মুদ্রার নাম কি?,INTERNATIONAL-AFFAIRS,D,রুপী,ডলার,পাউন্ড,রুপাইয়া
১৯৯২ সালে বিশ্ব অলিম্পিক অনুষ্ঠিত হয় কোথায়?,INTERNATIONAL-AFFAIRS,A,বার্সালোনা,জুরিখ,বার্লিন,ব্রাসেলস
আফটা \({\mathrm{(AFTA)}}\) বলতে কি বোঝায়–,INTERNATIONAL-AFFAIRS,A,একটি বাণিজ্যিক গোষ্ঠী,পূর্ব আফ্রিকার একটি সংবাদ সংস্থা,একটি বিমান সংস্থা,একটি সামরিক চুক্তি
আন্তর্জাতিক রোটারি সংস্থার প্রতিষ্ঠাতা–,INTERNATIONAL-AFFAIRS,B,\({\mathrm{W. Wilson}}\),\({\mathrm{Paul\ Harris}}\),\({\mathrm{Baden\ Powel}}\),\({\mathrm{H. Wilson}}\)
"চালের মূল্য ১২% কমে যাওয়ায় ৬,০০০ টাকায় পূর্বাপেক্ষা ১ কুইন্টাল চাল বেশি পাওয়া যায়। ১ কুইন্টাল চালের বর্তমান মূল্য কত?",MATHEMATICAL-REASONING,C,৭৫০ টাকা,৭০০ টাকা,৭২০ টাকা,৭৫ টাকা
"একটি আয়তাকার ক্ষেত্রের দৈর্ঘ্য বিস্তারের ৩ গুণ। দৈর্ঘ্য ৪৮ মিটার হলে, ক্ষেত্রটির পরিসীমা কত?",MATHEMATICAL-REASONING,A,১২৮ মিটার,১৪৪ মিটার,৬৪ মিটার,৯৬ মিটার
ক ঘন্টায় ১০ কি.মি. এবং খ ঘন্টায় ১৫ কি.মি. বেগে একই সময় একই স্থান থেকে রাজশাহীর পথে রওয়ানা হলো। ক ১০.১০ মিনিটের সময় এবং খ ৯.৪০ মিনিটের সময় রাজশাহী পৌঁছল। রওয়ানা হওয়ার স্থান থেকে রাজশাহীর দূরত্ব কত কি.মি.?,MATHEMATICAL-REASONING,C,২০ কি.মি.,২৫ কি.মি.,১৫ কি.মি.,২৮ কি.মি.
"১৯, ৩৩, ৫১, ৭৩, –––। পরবর্তী সংখ্যাটি কত?",MATHEMATICAL-REASONING,C,৮৫,১২১,৯৯,৯৮
একটি ক্রিকেট দলে যতজন স্ট্যাম্প আউট হলো তার দেড়গুণ কট আউট হলো এবং মোট উইকেটের অর্ধেক বোল্ড আউট হলো। এই দলের কতজন কট আউট হলো?,MATHEMATICAL-REASONING,B,৪ জন,৩ জন,২ জন,৫ জন
একটি বন্দুকের গুলি প্রতি সেকেন্ডে ১৫৪০ ফুট গতিবেগে লক্ষ্যভেদ করে। এক ব্যক্তি বন্দুক ছুঁড়বার ৩ সেকেন্ড পরে লক্ষ্যভেদের শব্দ শুনতে পায়। শব্দের গতি প্রতি সেকেন্ড ১১০০ ফুট। লক্ষ্য বস্তুর দূরত্ব কত?,MATHEMATICAL-REASONING,B,২০২৫ ফুট,১৯২৫ ফুট,১৯৭৫ ফুট,১৮৭৫ ফুট
"একটি বৃত্তের ব্যাসার্ধকে যদি \({\mathrm{r}}\) থেকে বৃদ্ধি করে \({\mathrm{r + n}}\) করা হয়, তবে তার ক্ষেত্রফল দ্বিগুণ হয়। \({\mathrm{r}}\)-এর মান কত?",MATHEMATICAL-REASONING,A,\({\mathrm{n\over \sqrt2-1}}\),\({\mathrm{n + \sqrt2}}\),\({\mathrm{\sqrt{2n}}}\),\({\sqrt {2\mathrm{(n + 1)}}}\)
\({\mathrm{a-{\{a-(a+1) = }}}\) কত?,MATHEMATICAL-REASONING,D,‍\(\mathrm {a-1}\),‍\(\mathrm {1}\),‍\(\mathrm {a}\),‍\(\mathrm {a+1}\)
একটি পাত্রে দুধ ও পানির অনুপাত ৫ : ২। যদি পানি অপেক্ষা দুধের পরিমাণ ৬ লিটার বেশি হয় পানির পরিমাণ-,MATHEMATICAL-REASONING,D,১৪ লিটার,৬ লিটার,১০ লিটার,৪ লিটার
,MATHEMATICAL-REASONING,C,\({0}\),\({1}\),\({225}\),\({1}\over{225}\)
